"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000186827",0.258319913964574,1.57247270937855,4.99684407102532,0.314693171735473,0.752994629214085,NA
"ENSG00000186891",0.258319913964574,1.57247270937855,4.99684407102532,0.314693171735473,0.752994629214085,NA
"ENSG00000160072",73.339785224091,0.874075217569819,0.27248665948857,3.20777251704861,0.00133767260054728,0.0166367771546053
"ENSG00000260179",0,NA,NA,NA,NA,NA
"ENSG00000234396",0,NA,NA,NA,NA,NA
"ENSG00000225972",3.23354307665601,-0.0875144460893077,1.41369802209071,-0.0619046251192197,0.950638784252119,NA
"ENSG00000224315",0,NA,NA,NA,NA,NA
"ENSG00000198744",14.1060455791218,-0.429192741654123,0.644198678935612,-0.666242815591091,0.505255910109969,NA
"ENSG00000279928",0,NA,NA,NA,NA,NA
"ENSG00000228037",0.23996591860245,-1.31955854101569,4.99569434177903,-0.264139166798139,0.7916726845247,NA
"ENSG00000142611",7.46784307606088,0.133625618480173,0.862170108801732,0.154987533337115,0.87683114549982,NA
"ENSG00000225630",510.966639676262,-1.24354995726711,0.107728067310787,-11.5434165701642,7.96956075031463e-31,1.80112072957111e-28
"ENSG00000131584",93.2998388551834,0.741007348748652,0.238342234960887,3.1090056232386,0.00187718145566958,0.0217986867179866
"ENSG00000227589",0,NA,NA,NA,NA,NA
"ENSG00000237402",0,NA,NA,NA,NA,NA
"ENSG00000284616",0,NA,NA,NA,NA,NA
"ENSG00000169972",19.8531901526366,0.686609352724763,0.521824733639467,1.31578537478668,0.188246089416729,NA
"ENSG00000157911",18.8716236441655,-0.173588201872243,0.545395153269519,-0.318279692864195,0.750272786765201,NA
"ENSG00000269896",6.69349923912852,-0.407321125951553,0.962962309204337,-0.422987610271173,0.67230430065506,NA
"ENSG00000237973",85.1296153655463,-1.05806694132571,0.255854063597105,-4.13543145045315,3.54288363905945e-05,0.000780618651391651
"ENSG00000224051",38.2795797814998,0.831235044141982,0.376028981487505,2.21056111381033,0.0270662440782036,NA
"ENSG00000228463",0.23996591860245,-1.31955854101569,4.99569434177903,-0.264139166798139,0.7916726845247,NA
"ENSG00000260972",0,NA,NA,NA,NA,NA
"ENSG00000157933",173.224541828001,0.442804604612694,0.174295070578555,2.54054577185028,0.0110679605464228,0.0860841375832882
